"declaration","file","line","mathematical_statement","assumptions","correspondence","dependencies","build_status"
"OBS.CoreBranch.pairSum_congr","OBS/CoreBranch/EigenmodeIdentities.lean","32","theorem pairSum_congr {f g : I → I → ℝ} (h : ∀ i j, f i j = g i j) : pairSum f = pairSum g","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.pairSum_swap","OBS/CoreBranch/EigenmodeIdentities.lean","41","theorem pairSum_swap (f : I → I → ℝ) : pairSum (fun i j ↦ f j i) = pairSum f","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.stationary_transport","OBS/CoreBranch/EigenmodeIdentities.lean","47","theorem stationary_transport (flow : I → I → ℝ) (hstat : ∀ i, ∑ j, flow i j = ∑ j, flow j i) (f : I → ℝ) : pairSum (fun i j ↦ flow i j * f j) = pairSum (fun i j ↦ flow i j * f i)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.stationary_dirichlet_identity","OBS/CoreBranch/EigenmodeIdentities.lean","78","theorem stationary_dirichlet_identity (flow : I → I → ℝ) (hstat : ∀ i, ∑ j, flow i j = ∑ j, flow j i) (x : I → ℝ) : pairSum (fun i j ↦ flow i j * x i * (x j - x i)) = -(1 / 2 : ℝ) * pairSum (fun i j ↦ flow i j * (x j - x i) ^ 2)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.stationary_phase_identity","OBS/CoreBranch/EigenmodeIdentities.lean","111","theorem stationary_phase_identity (flow : I → I → ℝ) (x y : I → ℝ) : pairSum (fun i j ↦ flow i j * (x i * y j - y i * x j)) = (1 / 2 : ℝ) * pairSum (fun i j ↦ (flow i j - flow j i) * (x i * y j - y i * x j))","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.weighted_eigenmode_identities","OBS/CoreBranch/EigenmodeIdentities.lean","158","theorem weighted_eigenmode_identities (flow : I → I → ℝ) (pi x y : I → ℝ) (a b : ℝ) (hstat : ∀ i, ∑ j, flow i j = ∑ j, flow j i) (hmode : WeightedRealMode flow pi x y a b) : a * modeNorm pi x y = modeD flow x y / 2 ∧ b * modeNorm pi x y = modeB flow x y","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.modeB_ne_zero_of_nonreal","OBS/CoreBranch/EigenmodeIdentities.lean","238","theorem modeB_ne_zero_of_nonreal {flow : I → I → ℝ} {pi x y : I → ℝ} {b : ℝ} (hN : 0 < modeNorm pi x y) (hb : b ≠ 0) (hid : b * modeNorm pi x y = modeB flow x y) : modeB flow x y ≠ 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.exists_nonzero_current_of_modeB_ne_zero","OBS/CoreBranch/EigenmodeIdentities.lean","247","theorem exists_nonzero_current_of_modeB_ne_zero {flow : I → I → ℝ} {x y : I → ℝ} (hB : modeB flow x y ≠ 0) : ∃ i j, flow i j - flow j i ≠ 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.entropy_current_le","OBS/CoreBranch/EntropyCurrent.lean","90","theorem entropy_current_le {x y : ℝ} (hx : 0 < x) (hy : 0 < y) : 2 * (x - y) ^ 2 / (x + y) ≤ (x - y) * Real.log (x / y)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.entropy_current_lt_of_ne","OBS/CoreBranch/EntropyCurrent.lean","101","theorem entropy_current_lt_of_ne {x y : ℝ} (hx : 0 < x) (hy : 0 < y) (hxy : x ≠ y) : 2 * (x - y) ^ 2 / (x + y) < (x - y) * Real.log (x / y)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.entropy_current_eq_iff","OBS/CoreBranch/EntropyCurrent.lean","112","theorem entropy_current_eq_iff {x y : ℝ} (hx : 0 < x) (hy : 0 < y) : (x - y) * Real.log (x / y) = 2 * (x - y) ^ 2 / (x + y) ↔ x = y","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.sum_entropy_current_le","OBS/CoreBranch/EntropyCurrent.lean","130","theorem sum_entropy_current_le (x y : E → ℝ) (hx : ∀ e, 0 < x e) (hy : ∀ e, 0 < y e) : ∑ e, 2 * (x e - y e) ^ 2 / (x e + y e) ≤ ∑ e, (x e - y e) * Real.log (x e / y e)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.sum_entropy_current_lt_of_exists_ne","OBS/CoreBranch/EntropyCurrent.lean","137","theorem sum_entropy_current_lt_of_exists_ne (x y : E → ℝ) (hx : ∀ e, 0 < x e) (hy : ∀ e, 0 < y e) (hne : ∃ e, x e ≠ y e) : ∑ e, 2 * (x e - y e) ^ 2 / (x e + y e) < ∑ e, (x e - y e) * Real.log (x e / y e)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.sum_entropy_current_eq_iff","OBS/CoreBranch/EntropyCurrent.lean","149","theorem sum_entropy_current_eq_iff (x y : E → ℝ) (hx : ∀ e, 0 < x e) (hy : ∀ e, 0 < y e) : (∑ e, (x e - y e) * Real.log (x e / y e) = ∑ e, 2 * (x e - y e) ^ 2 / (x e + y e)) ↔ ∀ e, x e = y e","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.weighted_endpointAverage_le_max","OBS/CoreBranch/FiniteWeighted.lean","19","theorem weighted_endpointAverage_le_max (w leftAmp rightAmp : E → ℝ) (M : ℝ) (hw : ∀ e, 0 ≤ w e) (hl : ∀ e, leftAmp e ≤ M) (hr : ∀ e, rightAmp e ≤ M) : ∑ e, w e * ((leftAmp e + rightAmp e) / 2) ≤ M * ∑ e, w e","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.weighted_endpointAverage_deficit","OBS/CoreBranch/FiniteWeighted.lean","37","theorem weighted_endpointAverage_deficit (w leftAmp rightAmp : E → ℝ) (M : ℝ) : M * (∑ e, w e) - ∑ e, w e * ((leftAmp e + rightAmp e) / 2) = ∑ e, w e * (((M - leftAmp e) + (M - rightAmp e)) / 2)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.weighted_endpointAverage_eq_iff","OBS/CoreBranch/FiniteWeighted.lean","50","theorem weighted_endpointAverage_eq_iff (w leftAmp rightAmp : E → ℝ) (M : ℝ) (hw : ∀ e, 0 ≤ w e) (hl : ∀ e, leftAmp e ≤ M) (hr : ∀ e, rightAmp e ≤ M) : (∑ e, w e * ((leftAmp e + rightAmp e) / 2) = M * ∑ e, w e) ↔ ∀ e, 0 < w e → leftAmp e = M ∧ rightAmp e = M","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.etaCur_ge_eta","OBS/CoreBranch/FiniteWeighted.lean","97","theorem etaCur_ge_eta {N C H M : ℝ} (hN : 0 ≤ N) (hH : 0 < H) (hM : 0 < M) (hHC : H ≤ M * C) : N / M ≤ N * C / H","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.etaCur_eq_eta_iff_H_eq_MC","OBS/CoreBranch/FiniteWeighted.lean","107","theorem etaCur_eq_eta_iff_H_eq_MC {N C H M : ℝ} (hN : 0 < N) (hH : 0 < H) (hM : 0 < M) : N * C / H = N / M ↔ H = M * C","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.current_swap","OBS/CoreBranch/MarkovData.lean","47","@[simp] theorem current_swap (i j : I) : M.current j i = -M.current i j","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.traffic_swap","OBS/CoreBranch/MarkovData.lean","50","@[simp] theorem traffic_swap (i j : I) : M.traffic j i = M.traffic i j","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.flow_nonneg","OBS/CoreBranch/MarkovData.lean","54","theorem flow_nonneg (i j : I) : 0 ≤ M.flow i j := mul_nonneg (M.pi_pos i).le (M.rate_nonneg i j) theorem traffic_nonneg (i j : I) : 0 ≤ M.traffic i j := add_nonneg (M.flow_nonneg i j) (M.flow_nonneg j i) /-- The stored stationary equation is exactly incoming/outgoing flow balance. -/ theorem flow_stationary (i : I) : ∑ j, M.flow i j = ∑ j, M.flow j i","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.traffic_pos_of_current_ne_zero","OBS/CoreBranch/MarkovData.lean","69","theorem traffic_pos_of_current_ne_zero {i j : I} (hcurrent : M.current i j ≠ 0) : 0 < M.traffic i j","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.weightedRealMode_of_backward_eigen_equations","OBS/CoreBranch/MarkovData.lean","87","theorem weightedRealMode_of_backward_eigen_equations (x y : I → ℝ) (a b : ℝ) (hreal : ∀ i, M.backwardAction x i = -a * x i - b * y i) (himag : ∀ i, M.backwardAction y i = b * x i - a * y i) : WeightedRealMode M.flow M.pi x y a b","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.modeNorm_pos_of_exists_coordinate_ne_zero","OBS/CoreBranch/MarkovData.lean","115","theorem modeNorm_pos_of_exists_coordinate_ne_zero (x y : I → ℝ) (hne : ∃ i, x i ≠ 0 ∨ y i ≠ 0) : 0 < modeNorm M.pi x y","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.phaseCoupling_sq_lt_DH_of_cauchy","OBS/CoreBranch/PhaseCouplingAssembly.lean","19","theorem phaseCoupling_sq_lt_DH_of_cauchy (B D K H : ℝ) (f g : E → ℝ) (hBne : B ≠ 0) (hB : B = ∑ e, f e * g e) (hD : D = ∑ e, f e ^ 2) (hK : K = ∑ e, g e ^ 2) (hKH : K < H) : B ^ 2 < D * H","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact implication from explicitly displayed bridge hypotheses","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.H_sub_K_identity","OBS/CoreBranch/PhaseDeficit.lean","18","theorem H_sub_K_identity (coeff leftSq rightSq sumSq diffSq : E → ℝ) (hpar : ∀ e, sumSq e + diffSq e = 2 * (leftSq e + rightSq e)) : (∑ e, coeff e / 2 * (leftSq e + rightSq e)) - ∑ e, coeff e / 4 * sumSq e = ∑ e, coeff e / 4 * diffSq e","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.K_le_H_of_parallelogram","OBS/CoreBranch/PhaseDeficit.lean","36","theorem K_le_H_of_parallelogram (coeff leftSq rightSq sumSq diffSq : E → ℝ) (hcoeff : ∀ e, 0 ≤ coeff e) (hdiff : ∀ e, 0 ≤ diffSq e) (hpar : ∀ e, sumSq e + diffSq e = 2 * (leftSq e + rightSq e)) : ∑ e, coeff e / 4 * sumSq e ≤ ∑ e, coeff e / 2 * (leftSq e + rightSq e)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.K_lt_H_of_exists_positive_deficit","OBS/CoreBranch/PhaseDeficit.lean","50","theorem K_lt_H_of_exists_positive_deficit (coeff leftSq rightSq sumSq diffSq : E → ℝ) (hcoeff : ∀ e, 0 ≤ coeff e) (hdiff : ∀ e, 0 ≤ diffSq e) (hpar : ∀ e, sumSq e + diffSq e = 2 * (leftSq e + rightSq e)) (hex : ∃ e, 0 < coeff e ∧ 0 < diffSq e) : ∑ e, coeff e / 4 * sumSq e < ∑ e, coeff e / 2 * (leftSq e + rightSq e)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.currentWeighted_threeFactor","OBS/CoreBranch/PublicCore.lean","27","theorem currentWeighted_threeFactor (flow : I → I → ℝ) (pi x y : I → ℝ) (a b : ℝ) (sigma C H M K : ℝ) (f g : E → ℝ) (hstat : ∀ i, ∑ j, flow i j = ∑ j, flow j i) (hmode : WeightedRealMode flow pi x y a b) (hN : 0 < modeNorm pi x y) (hC : 0 < C) (hH : 0 < H) (hM : 0 < M) (hb : b ≠ 0) (hthermo : 2 * C < sigma) (hBrep : modeB flow x y = ∑ e, f e * g e) (hDrep : modeD flow x y = ∑ e, f e ^ 2) (hKrep : K = ∑ e, g e ^ 2) (hKH : K < H) (hlocal : H ≤ M * C) : sigma * a / b ^ 2 = (sigma / (2 * C)) * (modeD flow x y * H / modeB flow x y ^ 2) * (modeNorm pi x y * C / H) ∧ 1 < sigma / (2 * C) ∧ 1 < modeD flow x y * H / modeB flow x y ^ 2 ∧ modeNorm pi x y / M ≤ modeNorm pi x y * C / H ∧ modeNorm pi x y * C / H < sigma * a / b ^ 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact implication from explicitly displayed bridge hypotheses","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.currentWeighted_threeFactor_of_phaseData","OBS/CoreBranch/PublicCore.lean","62","theorem currentWeighted_threeFactor_of_phaseData (flow : I → I → ℝ) (pi x y : I → ℝ) (a b : ℝ) (sigma C H M K : ℝ) (f g : E → ℝ) (coeff leftSq rightSq sumSq diffSq : E → ℝ) (hstat : ∀ i, ∑ j, flow i j = ∑ j, flow j i) (hmode : WeightedRealMode flow pi x y a b) (hN : 0 < modeNorm pi x y) (hC : 0 < C) (hH : 0 < H) (hM : 0 < M) (hb : b ≠ 0) (hthermo : 2 * C < sigma) (hBrep : modeB flow x y = ∑ e, f e * g e) (hDrep : modeD flow x y = ∑ e, f e ^ 2) (hKrep : K = ∑ e, g e ^ 2) (hcoeff : ∀ e, 0 ≤ coeff e) (hdiff : ∀ e, 0 ≤ diffSq e) (hpar : ∀ e, sumSq e + diffSq e = 2 * (leftSq e + rightSq e)) (hex : ∃ e, 0 < coeff e ∧ 0 < diffSq e) (hKphase : K = ∑ e, coeff e / 4 * sumSq e) (hHphase : H = ∑ e, coeff e / 2 * (leftSq e + rightSq e)) (hlocal : H ≤ M * C) : sigma * a / b ^ 2 = (sigma / (2 * C)) * (modeD flow x y * H / modeB flow x y ^ 2) * (modeNorm pi x y * C / H) ∧ 1 < sigma / (2 * C) ∧ 1 < modeD flow x y * H / modeB flow x y ^ 2 ∧ modeNorm pi x y / M ≤ modeNorm pi x y * C / H ∧ modeNorm pi x y * C / H < sigma * a / b ^ 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact implication from explicitly displayed bridge hypotheses","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.rowMarkov_currentWeighted_threeFactor","OBS/CoreBranch/PublicCore.lean","101","theorem rowMarkov_currentWeighted_threeFactor (R : RowMarkovData I) (x y : I → ℝ) (a b : ℝ) (sigma C H M K : ℝ) (f g : E → ℝ) (hreal : ∀ i, R.backwardAction x i = -a * x i - b * y i) (himag : ∀ i, R.backwardAction y i = b * x i - a * y i) (hcoord : ∃ i, x i ≠ 0 ∨ y i ≠ 0) (hC : 0 < C) (hH : 0 < H) (hM : 0 < M) (hb : b ≠ 0) (hthermo : 2 * C < sigma) (hBrep : modeB R.flow x y = ∑ e, f e * g e) (hDrep : modeD R.flow x y = ∑ e, f e ^ 2) (hKrep : K = ∑ e, g e ^ 2) (hKH : K < H) (hlocal : H ≤ M * C) : sigma * a / b ^ 2 = (sigma / (2 * C)) * (modeD R.flow x y * H / modeB R.flow x y ^ 2) * (modeNorm R.pi x y * C / H) ∧ 1 < sigma / (2 * C) ∧ 1 < modeD R.flow x y * H / modeB R.flow x y ^ 2 ∧ modeNorm R.pi x y / M ≤ modeNorm R.pi x y * C / H ∧ modeNorm R.pi x y * C / H < sigma * a / b ^ 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact implication from explicitly displayed bridge hypotheses","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.threeFactor_core","OBS/CoreBranch/ThreeFactorCore.lean","15","theorem threeFactor_core {sigma a b N D B C H M : ℝ} (hN : 0 < N) (hC : 0 < C) (hH : 0 < H) (hM : 0 < M) (hB : B ≠ 0) (hb : b ≠ 0) (haN : a * N = D / 2) (hbN : b * N = B) (hthermo : 2 * C < sigma) (hphase : B ^ 2 < D * H) (hlocal : H ≤ M * C) : sigma * a / b ^ 2 = (sigma / (2 * C)) * (D * H / B ^ 2) * (N * C / H) ∧ 1 < sigma / (2 * C) ∧ 1 < D * H / B ^ 2 ∧ N / M ≤ N * C / H ∧ N * C / H < sigma * a / b ^ 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact implication from explicitly displayed bridge hypotheses","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.finite_sum_mul_sq_le","OBS/CoreBranch/WeightedCauchy.lean","18","theorem finite_sum_mul_sq_le (f g : E → ℝ) : (∑ e, f e * g e) ^ 2 ≤ (∑ e, f e ^ 2) * ∑ e, g e ^ 2","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.weighted_sum_mul_sq_le","OBS/CoreBranch/WeightedCauchy.lean","24","theorem weighted_sum_mul_sq_le (T u v : E → ℝ) (hT : ∀ e, 0 < T e) : (∑ e, u e * v e) ^ 2 ≤ (∑ e, T e * u e ^ 2) * ∑ e, v e ^ 2 / T e","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.weighted_phaseCoupling_sq_le_DK","OBS/CoreBranch/WeightedCauchy.lean","50","theorem weighted_phaseCoupling_sq_le_DK (B D K : ℝ) (T u v : E → ℝ) (hT : ∀ e, 0 < T e) (hB : B = ∑ e, u e * v e) (hD : D = ∑ e, T e * u e ^ 2) (hK : K = ∑ e, v e ^ 2 / T e) : B ^ 2 ≤ D * K","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.phaseCoupling_sq_le_DK","OBS/CoreBranch/WeightedCauchy.lean","60","theorem phaseCoupling_sq_le_DK (B D K : ℝ) (f g : E → ℝ) (hB : B = ∑ e, f e * g e) (hD : D = ∑ e, f e ^ 2) (hK : K = ∑ e, g e ^ 2) : B ^ 2 ≤ D * K","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.cauchy_norms_nonneg","OBS/CoreBranch/WeightedCauchy.lean","70","theorem cauchy_norms_nonneg (D K : ℝ) (f g : E → ℝ) (hD : D = ∑ e, f e ^ 2) (hK : K = ∑ e, g e ^ 2) : 0 ≤ D ∧ 0 ≤ K","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact reusable finite weighted theorem; concrete Markov instantiation remains separate","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.generator_row_sum_zero","OBS/FullCompanion/LocalObstruction.lean","40","theorem generator_row_sum_zero (x : Context) : ∀ i, ∑ j, generator x i j = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.FullCompanion.right_uniform_stationary","OBS/FullCompanion/LocalObstruction.lean","46","theorem right_uniform_stationary : ∀ j, ∑ i, uniform i * generator rightContext i j = 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact rational/algebraic finite-context theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
